"","genes","baseMean","log2FoldChange","lfcSE","pvalue","padj","ensembl_gene_id","entrezgene_id"
"59","Scrt2",864.213428859077,1.24065889018001,0.191268549778981,5.96919412972235e-12,1.35220900769867e-09,"ENSMUSG00000060257",545474
"60","Inafm2",1615.87107464003,0.870911895694974,0.13500314707521,8.78251352343726e-12,1.95890586250451e-09,"ENSMUSG00000074918",100043272
"61","Emd",650.88386621323,-1.39201633597586,0.218790140731654,9.13101874068491e-12,2.00578045003712e-09,"ENSMUSG00000001964",13726
"62","Per1",1157.41330926023,-1.01504537315112,0.158780569428409,9.39546768397345e-12,2.03306702212309e-09,"ENSMUSG00000020893",18626
"63","Ipo7",982.175234514459,-1.070874448408,0.167882416649088,1.03581758252852e-11,2.20842401639683e-09,"ENSMUSG00000066232",233726
"64","Wtip",327.072247967195,1.69611292784151,0.265229274909612,1.05466153218442e-11,2.21601201356662e-09,"ENSMUSG00000036459",101543
"65","Nkx6-2",6332.69753164848,0.905934732970918,0.1411339880122,1.11203903564882e-11,2.30319170554808e-09,"ENSMUSG00000041309",14912
"66","Faim2",2893.40910835302,0.786721826505221,0.122432673865683,1.17597423986043e-11,2.40130627176007e-09,"ENSMUSG00000023011",72393
"67","9330159F19Rik",2521.02158707438,-0.908283189884965,0.143197333244073,1.41318816618475e-11,2.84561139352034e-09,"ENSMUSG00000004360",212448
"68","Arhgap35",3308.80786990327,-0.898685120178928,0.142297419846507,1.71945708011471e-11,3.41488886952097e-09,"ENSMUSG00000058230",232906
"69","Dynlt1a",1120.00055593997,-0.871140466476329,0.138032146789103,1.83925041580427e-11,3.60343953085544e-09,"ENSMUSG00000092074",100310872
"70","Cldn14",596.708706021061,1.01907891767465,0.162069491522578,2.36645631461894e-11,4.57451781991271e-09,"ENSMUSG00000047109",56173
"71","Magef1",1081.0210316134,0.876652087790584,0.139556381596246,2.61851370111871e-11,4.9951594261604e-09,"ENSMUSG00000121787",76222
"72","Gjb1",2962.07533738905,0.847815636824699,0.135215027930935,3.03851859371299e-11,5.72109643787675e-09,"ENSMUSG00000047797",14618
"73","Dscam",615.850549962456,1.22051959900775,0.196406980531824,3.51984334823821e-11,6.54239600804583e-09,"ENSMUSG00000050272",13508
"74","Trub1",845.577075902073,1.00327107395627,0.161350204813578,3.73000347199237e-11,6.84526459961335e-09,"ENSMUSG00000025086",72133
"75","Tmem63a",4733.91263888317,0.722942838739243,0.116674892539948,5.63403323447319e-11,1.01427394638318e-08,"ENSMUSG00000026519",208795
"76","Calm3",6533.08483770235,-0.69520041288016,0.112644753863374,5.66672573162072e-11,1.01427394638318e-08,"ENSMUSG00000019370",12315
"77","Tmeff2",16717.8586481318,0.73519645988961,0.119164610044803,6.45768152034883e-11,1.14174959368314e-08,"ENSMUSG00000026109",56363
"78","Cyp2j12",296.103993461799,1.36445512276757,0.223628500425344,6.79599554432585e-11,1.18708847471851e-08,"ENSMUSG00000081225",242546
"79","Dbp",6931.86465798826,1.0465256409257,0.17140577697016,8.26141987166191e-11,1.42588172975422e-08,"ENSMUSG00000059824",13170
"80","Arsg",2319.56730696593,0.945919352073184,0.155105203157734,8.36419443783457e-11,1.42663636423207e-08,"ENSMUSG00000020604",74008
"81","Draxin",1301.17956332787,-1.35284008490568,0.225219423903774,8.57231802759193e-11,1.42852260648308e-08,"ENSMUSG00000029005",70433
"82","Gpr62",2922.72980609466,0.737791891158335,0.120435340109529,8.50344449677738e-11,1.42852260648308e-08,"ENSMUSG00000091735",436090
"83","Apod",5078.46882842514,0.962337362737519,0.158661836917363,1.02172702686919e-10,1.68329527676698e-08,"ENSMUSG00000022548",11815
"84","Gna12",12914.0366727336,0.971191214453556,0.161109291484948,1.28368603944937e-10,2.09111013482437e-08,"ENSMUSG00000000149",14673
"85","Fzd3",2630.51215567285,-1.10434746524642,0.187013039230157,1.71297944490381e-10,2.7594195546906e-08,"ENSMUSG00000007989",14365
"86","En2",267.906474452696,2.06147746493735,0.347131769873796,1.79707781510862e-10,2.86308067730163e-08,"ENSMUSG00000039095",13799
"87","Gpr173",256.027686388697,-1.35800215346074,0.235935860816977,4.16560632834877e-10,6.56445223352179e-08,"ENSMUSG00000056679",70771
"88","Setd5",817.910503074092,-0.972688277457768,0.168363178608563,4.45471520556851e-10,6.88877655107474e-08,"ENSMUSG00000034269",72895
"89","Zxdb",598.709849344421,0.955688197099684,0.16428590317433,4.4664436184372e-10,6.88877655107474e-08,"ENSMUSG00000073062",668166
"90","Trf",55359.1117580258,0.953121419790298,0.164301466745795,5.31835902833429e-10,8.11637570450426e-08,"ENSMUSG00000032554",22041
"91","Sphk1",71.0966833166118,-2.53610479303954,0.448651232710875,7.22687689205559e-10,1.08138317207703e-07,"ENSMUSG00000061878",20698
"92","Adap1",3672.32029611639,0.688325291111944,0.118957214673539,7.23507847230458e-10,1.08138317207703e-07,"ENSMUSG00000056413",231821
"93","Faxc",1050.88433530086,-0.96748073579052,0.17021265934661,7.67779737966291e-10,1.13584394296278e-07,"ENSMUSG00000028246",76132
"94","Csnk1g1",915.059546280249,-1.02143908459631,0.181217614592911,8.27385379717398e-10,1.2116599227417e-07,"ENSMUSG00000032384",214897
"95","Nr1d1",13038.3887463023,0.892303302022716,0.157415799271787,1.17991861719841e-09,1.71064601121425e-07,"ENSMUSG00000020889",217166
"96","Plxna4",1275.00466072906,-0.869094437770618,0.15447789681335,1.19634357058543e-09,1.71728604815322e-07,"ENSMUSG00000029765",243743
"97","Gss",3012.80612352287,0.699080738595332,0.123204352976916,1.37244017523126e-09,1.95074879024537e-07,"ENSMUSG00000027610",14854
